X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1697.682161,4963.496673,2176.7953989999996,DDH-001,1.08,295.2716691,-24.22983548,0,89.42,90.5,20.849644,7.812,6.532,1
1697.00184,4963.817848,2177.133977,DDH-001,0.57,295.2716691,-24.22983548,0,90.5,91.07,15.211116,1.944,0.604,1
1696.354504,4964.12345,2177.45614,DDH-001,1.0,295.2716691,-24.22983548,0,91.07,92.07,7.68,1.6480000000000001,0.368,1
1721.974638,4977.96565,2176.21504,DDH-002,1.16,314.028978,-27.55228615,0,77.86,79.02,19.700495999999998,1.716,2.748,1
1721.5571100000002,4978.36926,2176.5180149999997,DDH-002,0.15,314.028978,-27.55228615,0,79.02,79.17,2.16,0.068,0.024,1
1721.3116929999999,4978.606497,2176.6961,DDH-002,0.62,314.028978,-27.55228615,0,79.17,79.79,4.98,0.22,0.44799999999999995,1
1720.8463559999998,4979.056321999999,2177.0337670000004,DDH-002,0.84,314.028978,-27.55228615,0,79.79,80.63,0.84,0.084,0.10800000000000001,1
1720.342773,4979.54312,2177.399188,DDH-002,0.74,314.028978,-27.55228615,0,80.63,81.37,12.93013333,0.624,0.46399999999999997,1
1719.845564,4980.023754999999,2177.759983,DDH-002,0.82,314.028978,-27.55228615,0,81.37,82.19,3.06,1.712,0.22399999999999998,1
1719.494968,4980.362664,2178.01439,DDH-002,0.28,314.028978,-27.55228615,0,82.19,82.47,11.2412,1.624,0.9440000000000001,1
1726.2016449999999,4973.187715999999,2115.196641,DDH-003,0.84,313.56341630000003,20.2517328,0,66.55,67.39,0.48,0.10400000000000001,0.027999999999999997,1
1725.732571,4973.633839,2114.9578,DDH-003,0.54,313.56341630000003,20.2517328,0,67.39,67.93,0.42,0.052000000000000005,0.032,1
1755.299518,4982.116895,2114.893743,DDH-004,1.0,323.78529879999996,29.48387876,0,46.39,47.39,13.00333333,1.172,1.472,1
1754.785219,4982.819217,2114.4015640000002,DDH-004,1.0,323.78529879999996,29.48387876,0,47.39,48.39,14.07,0.312,0.41600000000000004,1
1754.191204,4983.630399000001,2113.833098,DDH-004,1.31,323.78529879999996,29.48387876,0,48.39,49.7,8.7,0.14400000000000002,0.20800000000000002,1
1753.5457579999998,4984.511814,2113.2154140000002,DDH-004,1.2,323.78529879999996,29.48387876,0,49.7,50.9,1.86,0.11199999999999999,0.11599999999999999,1
1753.108604,4985.1087880000005,2112.797062,DDH-004,0.5,323.78529879999996,29.48387876,0,50.9,51.4,0.66,0.092,0.07200000000000001,1
1752.869455,4985.435368,2112.568199,DDH-004,0.43,323.78529879999996,29.48387876,0,51.4,51.83,17.333164,0.884,0.672,1
1752.519732,4985.912947,2112.233518,DDH-004,0.93,323.78529879999996,29.48387876,0,51.83,52.76,7.8,0.264,0.28800000000000003,1
1752.154579,4986.411596,2111.884071,DDH-004,0.49,323.78529879999996,29.48387876,0,52.76,53.25,10.925184,0.7040000000000001,1.064,1
1751.7971420000001,4986.899710000001,2111.542007,DDH-004,0.9,323.78529879999996,29.48387876,0,53.25,54.15,1.62,0.256,0.396,1
1751.24427,4987.654706,2111.012914,DDH-004,1.25,323.78529879999996,29.48387876,0,54.15,55.4,14.0608,0.62,1.2,1
1789.7841899999999,5015.708912,2178.760182,DDH-005,1.01,11.4676269,-24.1841931,0,94.95,95.96,3.48,0.34,0.428,1
1789.942884,5016.491182,2179.118644,DDH-005,0.74,11.4676269,-24.1841931,0,95.96,96.7,20.277036,1.6640000000000001,2.6,1
1790.0925100000002,5017.22875,2179.456623,DDH-005,0.91,11.4676269,-24.1841931,0,96.7,97.61,13.44853333,0.484,0.764,1
1869.965292,5068.411129,2229.918964,DDH-006,1.0,342.9169131,-21.15717182,0,73.85,74.85,22.38059488,0.985692,0.41335600000000006,1
1869.670788,5069.3694350000005,2230.306962,DDH-006,1.15,342.9169131,-21.15717182,0,74.85,76.0,20.14668004,0.6785720000000001,0.31745999999999996,1
1869.376284,5070.327741,2230.694959,DDH-006,1.0,342.9169131,-21.15717182,0,76.0,77.0,24.82833923,0.637876,0.384312,1
1869.102327,5071.219189,2231.055886,DDH-006,1.0,342.9169131,-21.15717182,0,77.0,78.0,22.68367152,0.7429479999999999,0.43702799999999997,1
1868.82837,5072.110636,2231.416814,DDH-006,1.0,342.9169131,-21.15717182,0,78.0,79.0,14.6847815,2.939548,2.216516,1
1868.5544129999998,5073.002084000001,2231.777741,DDH-006,1.0,342.9169131,-21.15717182,0,79.0,80.0,18.84345294,3.1837966839335863,6.136008,1
1868.280456,5073.893532,2232.138669,DDH-006,1.0,342.9169131,-21.15717182,0,80.0,81.0,19.27816523,2.11976,1.5608799999999998,1
1868.054442,5074.628976,2232.436434,DDH-006,0.65,342.9169131,-21.15717182,0,81.0,81.65,10.14681094,3.3997599999999997,2.307692,1
1867.869521,5075.230703,2232.68006,DDH-006,0.7,342.9169131,-21.15717182,0,81.65,82.35,13.41528338,0.6523479999999999,0.986476,1
1900.157584,5089.686878,2235.024821,DDH-007,0.4,5.4923246,-19.98668831,0,94.05,94.45,11.04078,0.914128,0.585676,1
1900.207056,5090.2013799999995,2235.212812,DDH-007,0.7,5.4923246,-19.98668831,0,94.45,95.15,5.1948,8.126719999999999,0.275484,1
1900.265522,5090.809427,2235.4349829999996,DDH-007,0.6,5.4923246,-19.98668831,0,95.15,95.75,4.4065199999999995,0.9964280000000001,0.15879200000000002,1
1930.82201,5097.729639,2236.4010780000003,DDH-008,0.8,22.163552600000003,-17.88967662,0,108.85,109.65,8.8059,2.108628,0.339456,1
1931.1540949999999,5098.5448719999995,2236.685225,DDH-008,1.05,22.163552600000003,-17.88967662,0,109.65,110.7,13.84138805,5.481568,1.8470080000000002,1
1931.504132,5099.404172,2236.98473,DDH-008,0.9,22.163552600000003,-17.88967662,0,110.7,111.6,1.5863399999999999,0.352528,0.10184,1
1931.7195379999998,5099.932972,2237.169041,DDH-008,0.3,22.163552600000003,-17.88967662,0,111.6,111.9,10.946760000000001,1.00986,0.34714,1
1931.952896,5100.505838,2237.368712,DDH-008,1.0,22.163552600000003,-17.88967662,0,111.9,112.9,5.08374,2.519936,0.538276,1
1921.163018,5068.2332,2166.673058,DDH-009,0.3,23.841053100000003,25.69898192,0,80.7,81.0,3.5301,0.119664,0.043876,1
1921.463498,5068.9131609999995,2166.315302,DDH-009,1.35,23.841053100000003,25.69898192,0,81.0,82.35,18.96233528,1.7386080000000002,0.259792,1
1921.7639789999998,5069.593123,2165.957546,DDH-009,0.3,23.841053100000003,25.69898192,0,82.35,82.65,19.59292223,1.92124,0.1432,1
1865.9534879999999,5047.395577,2213.578668,DDH-010,0.64,330.68999289999994,-11.5005823,0,53.42,54.06,14.0625,0.380952,0.027776,1
